content,keyword,time
陈晓还是很帅的，颜值够看，剧情实在不想吐槽了,云巅之上2,2017-04-20
刚开始有点雷，看着看着居然免疫了,云巅之上2,2017-03-05
我宣布 我正式成为陈晓颜粉,云巅之上2,2017-04-07
什么鬼,云巅之上2,2017-04-16
虽然一样不太着调的品味和浮夸，于正的娱乐圈奋斗片的调性就和之前花千骨团队的重生不太一样。看033元气满满的追梦也还可以。期待之后杨磊团队的星光璀璨。033和演展眉的演员迷之像。戏中戏迷之带感。浓妆陈晓迷之带感，斜眼看人的魅。沈嫣这种装柔弱的演技套路啊。第二季后半拖戏循环可以减一星,云巅之上2,2017-05-02
剧情狗血打光辣眼睛，袁姗姗基本靠吼。三颗星给晓贱人，一颗星给杰大的配音，张杰加陈晓，撑我看完整部剧，整个角色又贱又苏，苏炸天际又帅的荡气回肠，哈哈哈。,云巅之上2,2017-04-10
陈晓cut好好看啊！,云巅之上2,2017-10-29
云翔之上。,云巅之上2,2017-03-16
很老套很玛丽苏的剧情，广告植入太僵硬，然而我竟然一口气看完了，陈晓好帅好苏！！！！！！纸巾吻我可以看一百遍！！,云巅之上2,2017-03-05
陈晓是很帅，剧情真的太差了，幸好陈晓离开于妈了。,云巅之上2,2017-10-20
于老师浪费了一个好题材，深挖不够，剪辑不够流畅。给题材加1,云巅之上2,2017-03-09
袁姗姗  好尴尬,云巅之上2,2017-03-06
陈晓帅啊😍,云巅之上2,2017-02-25
说实话，我是听说陈晓演的很精确才去看的，片子真心一般，但是为了陈晓也看下去了。于抄抄又是抄袭，这部剧抄了3部+的桥段，再编造一些所谓业内真相，实际上还是很浮躁，演技这个东西还是有点糊弄人，个人倒确实觉得陈晓难得演的很不错。袁姗姗不予置评，只能说其他人都努力了。,云巅之上2,2017-04-10
俩分最多,云巅之上2,2017-03-05
陈晓苏炸了，无论是什么造型，都可以驾驭，非常惊艳我的就是陈晓的苏感和演技，苏感表现在他每一个表情和动作都激起我的少女心，演技就是那几个反串选段实在是太美了，动作眼神恰到好处,云巅之上2,2017-03-31
反派也太脑残了,云巅之上2,2017-06-14
于妈编剧基本有点雷，但是娱乐圈纷纷扰扰也在所难免！主要是陈晓袁姗姗两位主演的颜我很满意，剧里演技也在线！话说袁姗姗现代装很美啊，没得黑！戏中戏很有看点,云巅之上2,2017-02-24
三颗星都给美艳盛世的晓哥哥！！！,云巅之上2,2017-02-28
有一些剧，不用看剧情，不用看主演，甚至根本不用看，只要有“于正”两个字，就可以打分了,云巅之上2,2017-05-01
能上云端，必为强者。,云巅之上2,2017-04-20
好适合快进的的剧！！！好期待后面的  ！！！😂,云巅之上2,2017-03-18
除了女主简兮人设太作以外，其他还好。很喜欢剧中剧这种创新模式。,云巅之上2,2017-04-21
选角还行吧，虽然于妈剧选不选也就那几人。就是剧情漂浮在云上，不切实际，号称要怼别人，其实自己也不强啊。,云巅之上2,2017-03-23
除了透着一股没钱味儿，剧本还是可以的，傻白甜套路之下各种大实话。,云巅之上2,2017-02-27
狗血无脑玛丽苏……,云巅之上2,2017-04-03
"期待了很久了，很早就关注了
题材新颖，很喜欢，不过演的太浮夸了
唐斐真的是嘴硬心软的代表
真没看出来沈嫣居然是心机婊，季晴的助理笑笑和沈嫣真是无语
简兮跟沈嫣逼问的时候，怎么就不知道录音呢，简直了，好想教教简兮怎么录音
袁姗姗很适合简兮这个角色，演出了俏皮与可爱
完美幸福的大结局",云巅之上2,2017-06-05
演技尴尬,云巅之上2,2017-07-23
男女主的对手戏其实还可以，但是那个什么老师的戏份也太多了吧。。。,云巅之上2,2017-10-29
我一直以为这是古装，看了才知道是现代剧，演得还不错,云巅之上2,2017-03-21
玻璃假面既视感,云巅之上2,2017-04-09
好,云巅之上2,2017-07-09
