content,playCount,name
尼玛这是小学生拍的吗？简直太儿戏了，剧情，还有逻辑，都跟儿童漫画似的！能不能用点心，还有这些道具，简直了，跟抗日神剧有什么差别？整部剧的场景就三个地方，号称是科幻片，可是我根本就没发现什么科幻的地方，那些所谓的科幻特效，在我看来还不如熊出没里面的特效！,25130000,时空送货人
中国科幻，还蛮酷的，不太像网大的级别，以我半专业影评人的看法…还可以 90吧。,25130000,时空送货人
我以前是卖小吃的，有一天晚上收摊，快12点了，路上也黑没有路灯，就在一个小街道口出来3个劫匪，要打劫我幸幸苦苦的血汗钱，我并没有给他们，这么热的天 一天就几十块的收入，于是我耍了一套军体拳被捅了13刀，我自己坚持爬到了医院，3小时的路程，我墙都没服，就服你。^_^,25130000,时空送货人
垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾,25130000,时空送货人
演的辣鸡，你们去演啊？啊，心里没一点逼数。来给我定上去,25130000,时空送货人
老子居然花一个小时看这么low的片子,25130000,时空送货人
我去！已经很克制的去尝试去看了！可没几分钟还是看的浑身难受！感官上没代入感啊！怎么看都感觉他们是在刻意的去表演这段故事里的人物。感觉就像在玩过家家还是成年人在玩！不过影片名到是挺吸引人！至少这个坑我是摔进去了！‘‘ 凸 ’’这绝不是手势！,25130000,时空送货人
科幻电影都是未来的事情，没有借鉴的，只能是人人都有的科幻的的梦想，还有就是看过的外国片，所以只要这个创造团队努力了，大家就应该多鼓励和点赞，假如你想拍个科幻电影是什么样的呢？也只能想想，脑海里还是涌现美国好莱坞大片的样子啊？,25130000,时空送货人
国产电影果然没有辜负我的期望，一如既往的垃圾。不好意思，我看了三分钟就快进到最后评分了。 转发的,25130000,时空送货人
他们的那个玩具枪子弹壳都没有我看了还以为打外星人的抢还他们要会员,25130000,时空送货人
这部电影通篇充斥着浓浓的圈钱风，故事内容侮辱观众智商，特效画面神似廉价片，演员表演浮夸随意，画风无限贴近日式恶俗电影，台词无聊无趣无内涵，除了偶尔出现的道具可看之外，无一是处。如果不怕尴尬，心胸够大的话，倒是可以作为打炮背景音播放一下。,25130000,时空送货人
比起这个三生三世十里桃花还是太好看了，最起码颜值高，特效不至于连五毛钱都没有,25130000,时空送货人
这部电影通篇充斥着浓浓的圈钱风，故事内容侮辱观众智商，特效画面神似廉价片，演员表演浮夸随意，画风无限贴近日式恶俗电影，台词无聊无趣无内涵，除了偶尔出现的道具可看之外，无一是处。如果不怕尴尬，心胸够大的话，倒是可以作为打炮背景音播放一下。,25130000,时空送货人
在沙漠埋纳米球，竟然还用高科技电钻打眼，我特么想在制片和导演脑袋上打个看看里边都啥玩意,25130000,时空送货人
这部电影通篇充斥着浓浓的圈钱风，故事内容侮辱观众智商，特效画面神似廉价片，演员表演浮夸随意，画风无限贴近日式恶俗电影，台词无聊无趣无内涵，除了偶尔出现的道具可看之外，无一是处。如果不怕尴尬，心胸够大的话，倒是可以作为打炮背景音播放一下。,25130000,时空送货人
这么多日本名字 好想来点刺激的,25130000,时空送货人
垃圾，中国科幻片。,25130000,时空送货人
垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾,25130000,时空送货人
"整个几把玩具枪玩突突突？国产电影简直了，连点想喷的心情都没有
要特效没特效，演员没技术
忠告一句，等什么时候技术成熟了再来行吧，真的别再辣我们观众的眼睛了，还是拿这些钱去捐捐款吧",25130000,时空送货人
垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾十万个垃圾都没这个垃圾垃圾,25130000,时空送货人
他们的现在国产片名字倒是取的很牛逼他们的就是垃圾,25130000,时空送货人
辣鸡，不过我也看完了。想不到有这么辣鸡,25130000,时空送货人
这尼玛神马鬼东西啊，真心尼玛看不懂…唉，现在啊，就像那谁说的，什么人都能拍电影，但是你拍的也好看点啊，这尼玛一点演技都没有，全靠潜规则…跟死人一样就一个表情，那就是死人的表情演完的电影，真心想杀了这个导演……,25130000,时空送货人
我能说这是垃圾吗？？？？拍的什么玩意儿？,25130000,时空送货人
